"","uID","Year","Outcome","months_with_outcome","Txmonths","isCoal","initialYear","S_n_CR","avgNOxControls","scrubber","totOpTime","NOxemissions","SO2emissions","CO2emissions","GrossLoad","HeatInput","pctCapacity","Phase2","EPA.Region","Latitude","Longitude","Tx","coal_no_scrubber","coal_with_scrubber"
"1","1001_1",2002,4122.105,12,0,TRUE,1970,FALSE,1,FALSE,8051.46,4122.105,29379.418,2986746.824,3330896,29110607.457,0.627540774647874,0,5,39.9239,-87.4272,FALSE,TRUE,FALSE
"2","1001_2",2014,4383.103,12,0,TRUE,1972,FALSE,1,TRUE,7481.52,4383.103,1545.877,2581701.476,2456807.73,25162770.771,0.514748280390326,0,5,39.9239,-87.4272,FALSE,FALSE,TRUE
"3","10025_1E",2002,393.464,12,0,TRUE,NA,FALSE,0,FALSE,7316.5,393.464,NA,NA,NA,1630320.424,0.703417542879449,0,2,43.1969,-77.6289,FALSE,TRUE,FALSE
"4","10025_1F",2002,428,12,0,TRUE,NA,FALSE,0,FALSE,7787.25,428,NA,NA,NA,1778321.401,0.766692672963365,0,2,43.1969,-77.6289,FALSE,TRUE,FALSE
"5","10029_3",2002,218.563,12,0,FALSE,NA,FALSE,2,FALSE,8118.29,218.563,NA,NA,NA,2048928.314,0.611783916495927,0,1,42.45,-70.9739,FALSE,FALSE,FALSE
"6","10029_5",2002,15.798,12,0,FALSE,NA,FALSE,0,FALSE,955.19,15.798,NA,NA,8019,205665.666,0.0861832441832995,0,1,42.45,-70.9739,FALSE,FALSE,FALSE
"7","10030_2",2014,5.721,12,12,FALSE,NA,TRUE,1,FALSE,3345.23,5.721,0.433,85965.363,176499.4,1446561.804,0.252170576229042,1,3,39.1467,-75.5461,TRUE,FALSE,FALSE
"8","10034_S-100",2014,6.011,12,0,FALSE,NA,FALSE,0,FALSE,662.65,6.011,0.161,32064.145,63970.87,539568.076,0.0537073197125196,1,9,37.0001,-121.5367,FALSE,FALSE,FALSE
"9","10043_1001",2014,625.357,12,12,TRUE,NA,TRUE,1,TRUE,8482.8,625.357,748.811,1058525.745,NA,10313398.067,0.499487767490774,0,2,39.7914,-75.4081,TRUE,FALSE,TRUE
"10","1004_1-Aug",2002,564.673,12,0,TRUE,NA,FALSE,0,FALSE,4035.47,564.673,2742.09,191715.022,NA,1868532.037,0.304084656620156,1,5,38.8067,-87.2472,FALSE,TRUE,FALSE
"11","1004_1-Jul",2002,709.006,12,0,TRUE,NA,FALSE,0,FALSE,3966.31,709.006,2688.26,201345.682,NA,1962417.894,0.320003802377434,1,5,38.8067,-87.2472,FALSE,TRUE,FALSE
"12","1004_2-Jul",2002,649.966,12,0,TRUE,NA,FALSE,0,FALSE,3919.41,649.966,2745.584,197596.885,NA,1925887.059,0.313299644763441,1,5,38.8067,-87.2472,FALSE,TRUE,FALSE
"13","1004_CTG1",2014,370.011,12,12,TRUE,NA,TRUE,0,FALSE,6262.08,370.011,24.099,1386786.96,1206508.53,12483804.772,0.442014051647305,1,5,38.8067,-87.2472,TRUE,TRUE,FALSE
"14","1004_CTG2",2014,328.797,12,12,TRUE,NA,TRUE,0,FALSE,5098.27,328.797,17.866,1069727.124,937356.47,10050619.34,0.358164434689653,1,5,38.8067,-87.2472,TRUE,TRUE,FALSE
"15","10075_1",2014,314.586,12,12,TRUE,NA,TRUE,1,TRUE,8223.04,314.586,1089.253,551736.944,427725.07,5260645.047,0.666628035730287,1,5,47.5314,-90.9111,TRUE,FALSE,TRUE
"16","1007_CT3",2014,9.191,12,12,FALSE,NA,TRUE,0,FALSE,1408.7,9.191,0.239,47355.257,71503.38,796811.6,0.108570240604924,1,5,40.0969,-85.9714,TRUE,FALSE,FALSE
